Suburb,Rooms,Type,Price,Method,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude
Abbotsford,2,h,1035000,S,3067,2,1,0,156,79,1900,-37.8079,144.9934
Abbotsford,3,h,1465000,SP,3067,3,2,0,134,150,1900,-37.8093,144.9944
Abbotsford,4,h,1600000,VB,3067,3,1,2,120,142,2014,-37.8072,144.9941
Abbotsford,3,h,1876000,S,3067,4,2,0,245,210,1910,-37.8024,144.9993
Abbotsford,2,h,1636000,S,3067,2,1,2,256,107,1890,-37.806,144.9954
Abbotsford,2,h,1097000,S,3067,3,1,2,220,75,1900,-37.801,144.9989
Abbotsford,3,h,1350000,VB,3067,3,2,2,214,190,2005,-37.8085,144.9964
Abbotsford,2,u,750000,S,3067,2,2,1,0,94,2009,-37.8078,144.9965
Abbotsford,2,h,1310000,S,3067,2,1,2,238,97,1890,-37.809,144.9976
Abbotsford,3,h,1200000,S,3067,3,2,1,113,110,1880,-37.8056,144.993
Abbotsford,3,h,1176500,S,3067,2,1,1,138,105,1890,-37.8021,144.9965
Abbotsford,2,h,890000,S,3067,2,1,1,150,73,1985,-37.8011,145.0004
Abbotsford,4,h,1330000,PI,3067,4,2,2,780,135,1900,-37.8073,144.9952
Abbotsford,2,u,500000,S,3067,2,1,1,0,60,1970,-37.8015,144.9972
Abbotsford,2,h,1100000,PI,3067,2,2,1,124,135,2013,-37.8079,144.9977
Abbotsford,2,h,1315000,S,3067,2,1,0,147,85,1900,-37.808,144.994
Abbotsford,3,h,1447500,PI,3067,3,3,1,166,174,2012,-37.8017,145.0001
Abbotsford,2,h,1135000,S,3067,2,2,2,98,128,1920,-37.8005,144.9952
Abbotsford,3,h,1290000,S,3067,3,1,1,168,124,1950,-37.8007,144.9958
Abbotsford,1,u,470000,S,3067,1,1,1,0,50,2013,-37.8055,144.9961
Abbotsford,2,h,1180000,S,3067,2,1,0,162,91,1900,-37.8016,144.9956
Abbotsford,3,h,1195000,SP,3067,3,2,1,120,128,1998,-37.8022,144.9954
Abbotsford,2,h,1012500,S,3067,2,1,0,182,82,1900,-37.8021,144.9976
Abbotsford,2,h,1030000,S,3067,2,1,1,172,81,1930,-37.8086,144.9946
Airport West,3,t,840000,PI,3042,3,2,1,303,225,2016,-37.718,144.878
Airport West,3,h,730000,VB,3042,3,2,1,0,145,1965,-37.7203,144.8755
Airport West,3,h,770000,SP,3042,3,2,1,0,145,1965,-37.7203,144.8755
Airport West,2,h,603000,S,3042,2,1,1,272,84,1950,-37.7294,144.888
Airport West,3,t,700000,S,3042,3,2,2,239,134,2009,-37.7218,144.8837
Airport West,3,h,600000,S,3042,2,1,1,290,116,1980,-37.7273,144.8744
Airport West,2,u,500000,VB,3042,2,1,1,168,86,2011,-37.7215,144.8864
Airport West,6,h,725000,SP,3042,6,3,2,976,186,1980,-37.7239,144.8735
